city,mayor
San Bernardino,Helen Tran
San Clemente,Victor Cabral
Warwick,Frank J. Picozzi
Azusa,Robert Gonzales
Sacramento,Darrell Steinberg
Sanford,Art Woodruff
Joliet,Terry D'Arcy
Pine Bluff,Shirley Washington
El Monte,Jessica Ancona
San Ramon,David E. Hudson
El Centro,Sylvia Marroquin
Chino,Eunice M. Ulloa
West Allis,Dan Devine
North Tonawanda,Austin J. Tylec
Stockton,Kevin J. Lincoln II
Pleasant Hill,Matthew Rinn
Temple,Tim Davis
White Plains,Thomas M. Roach
Syracuse,Ben Walsh
Independence,Rory Rowland
Modesto,Sue Zwahlen
Medford,Randy Sparacino
Anaheim,Ashleigh Aitken
Hagers,Tekesha Martinez
Shelton,Mark A. Lauretti
Cerritos,Naresh Solanki
El Cajon,Bill Wells
Edmond,Darrell A. Davis
Calumet City,Thaddeus Jones
Del Rio,Al Arreola
Perth Amboy,Helmin J. Caba
Moore,Ken Moore
Santa Monica,Phil Brock
San Gabriel,John Wu
Lawrence,Bart Littlejohn
Garland,Scott LeMay
Milwaukee,Cavalier Johnson
Bethel Parkborough,Not Found
Greenburgh,Not Found
Parkersburg,Not Found
Garfield Heights,Not Found
Fonddu Lac,Not Found
Blue Springs,Chris Lievsay
Rancho Cucamonga,L Dennis Michael
Hendersonville,Jamie Clary
Green Bay,Eric Genrich
Yorba Linda,Tara Campbell
Austin,Kirk Watson
Quincy,Thomas P. Koch
Corvallis,Charles Maughan
Framingham,Charlie Sisitsky
Pemberton,Not Found
Colton,Frank J. Navarro
Spartanburg,Jerome Rice
Merced,Matthew Serratto
Richmond,Levar Stoney
Turlock,Amy Bublak
Sparks,Ed Lawson
Huntington Park,Karina Macias
Janesville,Not Found
Wichita,Lily Wu
Beaverton,Lacey Beaty
Hartford,Arunan Arulampalam
Dearborn,Abdullah Hammoud
La Verne,Tim Hepburn
Fairfield,Catherine Moy
Rialto,Deborah Robertson
York,Eric L. Adams
Tuscaloosa,Walter Maddox
Johnson City,Todd Fowler
Claremont,Sal Medina
Toledo,Wade Kapszukiewicz
Edison,Sam Joshi
Melbourne,Paul Alfrey
Wilmington,Bill Saffo
Fort Pierce,Linda Hudson
Manhattan Beach,Amy Thomas Howorth
Broken Arrow,Debra Wimpee
Monroe,Stephen Dalina
Fort Wayne,Sharon Tucker
Daly City,Juslyn C. Manalo
Montclair,Renee Baskerville
Walnut Creek,Loella Haskew
Bossier City,Thomas H. Chandler
Bessemer,Not Found
Haverhill,Melinda E. Barrett
Cambridge,E. Denise Simmons
Palatinevillage,Not Found
Margate,Tommy Ruzzano
Columbia,Muriel Bowser
Buena Park,Susan Sonne
Covina,Brian Tabatabai
Temple City,Tom Chavez
Santa Clara,Lisa M. Gillmor
Clovis,Lynne Ashbeck
Compton,Emma Sharif
Miramar,Wayne M. Messam
Reading,Eddie Moran
Pittsburgh,Ed Gainey
Shreveport,Tom Arceneaux
Torrance,George Chen
Mesa,John Giles
Madison,Satya Rhodes-Conway
Sylvania,Cherelle L. Parker
Southfield,Kenson J. Siver
Bountiful,Kendalyn Harris
Mount Prospectvillage,Not Found
Wheeling,Patrick Horcher
Port Arthur,Thurman 'Bill' Bartie
Lubbock,Mark McBrayer
Elkhart,Rod Roberson
Woodbridge,John E. McCormac
Hanford,Travis Paden
Glendale,Jerry Weiers
Gadsden,Craig Ford
Stillwater,William H. Joyce
Cedar Falls,Daniel Laudick
Waltham,Jeannette A. McCarthy
Southington,Not Found
Teaneck,Michael Pagan
Richardson,Rex Richardson
San Rafael,Kate Colin
Edmonds,Mike Rosen
Southgate,Not Found
Manchester,Jay Ruais
Petaluma,Kevin McDonnell
Upper Darby,Ed Brown
Dubuque,Brad M. Cavanagh
West Bloomfield,Not Found
Cape Coral,John Gunter
Kingsport,Patrick W. Shull
Cincinnati,Aftab Pureval
Martinez,Eduardo Martinez
Hallandale,Joy Cooper
Pembroke Pines,Angelo Castillo
Macon,Lester Miller
Carson,Lula Davis-Holmes
