Mayor,Party Affiliation
Eric Adams,Democrat
Karen Bass,Democrat
Brandon Johnson,Democrat
John Whitmire,Democrat
Kate Gallego,Democrat
Cherelle Parker,Democrat
Ron Nirenberg,Independent
Todd Gloria,Democrat
Eric Johnson,Republican
Matt Mahan,Democrat
Kirk Watson,Democrat
Donna Deegan,Democrat
Mattie Parker,Republican
Andrew J. Ginther,Democrat
Joseph Hogsett,Democrat
Vi Lyles,Democrat
London Breed,Democrat
Bruce Harrell,Democrat
Freddie O'Connell,Democrat
Michael Johnston,Democrat
David Holt,Republican
Oscar Leeser,Democrat
Michelle Wu,Democrat
Ted Wheeler,Democrat
Carolyn Goodman,Nonpartisan
Mike Duggan,Democrat
Paul Young,Democrat
Craig Greenberg,Democrat
Brandon M. Scott,Democrat
Cavalier Johnson,Democrat
Tim Keller,Democrat
Regina Romero,Democrat
Jerry Dyer,Republican
Darrell Steinberg,Democrat
Quinton Lucas,Democrat
John Giles,Republican
Andre Dickens,Democrat
Jean Stothert,Republican
Yemi Mobolade,Independent
Mary-Ann Baldwin,Democrat
Rex Richardson,Democrat
Bob Dyer,Republican
Francis Suarez,Republican
Sheng Thao,Democrat
Jacob Frey,Democrat
G. T. Bynum,Republican
Karen Goh,Republican
Lily Wu,Libertarian
Jim Ross,Unknown
Mike Coffman,Republican
Jane Castor,Democrat
LaToya Cantrell,Democrat
Justin Bibb,Democrat
Rick Blangiardi,Independent
Ashleigh Aitken,Democrat
Linda Gorton,Republican
Kevin Lincoln II,Republican
Paulette Guajardo,Nonpartisan
Michelle Romero,Republican
Patricia Lock Dawson,Nonpartisan
Ras J. Baraka,Democrat
Melvin Carter III,Democrat
Valerie Amezcua,Democrat
Aftab Pureval,Democrat
Farrah Khan,Democrat
Buddy Dyer,Democrat
Edward Gainey,Democrat
Tishaura Jones,Democrat
Nancy B. Vaughan,Democrat
Steven Fulop,Democrat
Suzanne LaFrance,Nonpartisan
Leirion Gaylor Baird,Democrat
John Muns,Republican
Leonardo Williams,Democrat
Christopher P. Scanlon,Democrat
Kevin Hartke,Republican
John McCann,Republican
Wade Kapszukiewicz,Democrat
Satya Rhodes-Conway,Democrat
Brigette Peterson,Republican
Hillary Schieve,Nonpartisan
Sharon Tucker,Democrat
Pamela Goynes-Brown,Democrat
Kenneth Welch,Democrat
Mark McBrayer,Republican
Rick Stopfer,Republican
Victor Treviño,Unknown
Allen Joines,Democrat
Richard West,Republican
Jerry Weiers,Republican
Scott LeMay,Republican
David Ortega,Independent
Kenneth Alexander,Democrat
Lauren McLean,Democrat
Lily Mei,Democrat
Lisa Brown,Democrat
Cameron Smyth,Republican
Sharon Weston Broome,Democrat
Levar Stoney,Democrat
Esteban Bovo Jr.,Republican
