state_name,unemployment_rate
New Jersey,3.5
Pennsylvania,4.3
Oregon,3.7
New York,3.9
Minnesota,3.3
Missouri,3.2
Massachusetts,3.0
Indiana,3.3
North Dakota,2.2
Texas,3.5
California,4.1
Kentucky,4.1
Arkansas,3.5
Connecticut,3.6
Ohio,4.2
New Hampshire,2.6
Florida,3.3
Washington,4.2
Louisiana,4.6
Maine,2.9
Wyoming,3.7
North Carolina,3.9
Mississippi,5.5
Michigan,4.1
Virginia,2.8
South Carolina,2.8
Illinois,4.0
Wisconsin,3.2
Tennessee,3.3
Utah,2.5
Oklahoma,3.1
Arizona,4.8
Colorado,2.7
Georgia,3.6
West Virginia,5.0
Rhode Island,3.5
Alabama,3.2
South Dakota,2.8
Idaho,2.9
Nevada,4.1
Kansas,3.2
Iowa,2.7
Maryland,3.4
New Mexico,5.0
Delaware,3.6
Vermont,2.1
Alaska,5.6
